,price,location,area,facing,no_of_bedroom,no_of_bathroom,no_of_livingroom,no_of_kitchen,parking,road_size,floors
0,"रु.2,40,00,000",Kapan,3.30anna,South,4,4,2,undefined,10,15,2.5
1,"रु.2,50,00,000",Imadol,3 ana 1 paisa,South,7,4,2,2,8,,3
2,"रु.3,65,00,000",Imadol,3.5 aana,Select,8,4,2,2,8,24,3
3,"रु.2,15,00,000",Imadol,Paune 3 ana,Select,7,4,2,2,7,,3
4,"रु.3,80,00,000",Imadol,4 Aana 1 Paisa,East,7,5,2,2,16,13,3.5
5,"रु.3,20,00,000",Imadol,3 Aana 2 Daam,East,5,4,2,2,13,13,3
6,"रु.11,50,00,000",Sinamangal,10 Aana,West,4,3,2,1,10,20Ft,2
7,"रु.4,00,00,000",Harisiddhi,7 aana,East,6,4,2,2,14,13,2.5
8,"रु.3,25,00,000",Safaray,4 aana,South,8,4,2,2,10,13ft,2.5
9,"रु.2,80,00,000",Bhaisepati,4 Aana,South,6,3,2,2,13,16,2.5
10,"रु.2,20,00,000",Bhaisepati,2.5 Aana,North,6,4,1,2,13,16,3.5
11,"रु.3,25,00,000",Bhaisepati,7 Aana,West,6,4,1,2,13,13,2
12,"रु.3,10,00,000","Rani,",2 kathha,Select,3,1,1,1,5,,undefined
13,"रु.2,70,00,000",Bhaisepati,4 Aana 3 Paisa,West,6,3,2,2,13,14,2.5
14,"रु.3,80,00,000",Bhaisepati,4.5 Aana,North,6,3,2,2,13,13,2.5
15,"रु.2,75,00,000",Gangabu,3anna,South,15,3,3,3,15,13,3
16,"रु.2,20,00,000",Imadol,2.5 ana,Select,5,3,2,2,7,13,2.5
17,"रु.3,20,00,000",Imadol,3.5 aana,East,7,4,2,2,7,13,3
18,"रु.11,50,00,000",Kathmandu,1.5 Aana,East,2,5,0,0,12,26,6
19,"रु.5,25,00,000",Bhaisepati,5.5 Aana,East,6,5,2,2,15,16,2.5
20,"रु.3,00,00,000",Bhaisepati,5 aana,Select,6,3,3,3,15,13,3
21,रु.0,Bhaisepati,7 Aana,South,5,6,2,2,15,20,2.5
22,"रु.3,90,00,000",Bhaisepati,4 Aana 3 Paisa,South,6,5,2,1,14,20,3.5
23,"रु.5,00,00,000",Bhhangal,5.5 aana,North,4,4,2,3,10,13,3.5
24,"रु.5,00,00,000",Bhungal,5.5 aana,North,3,3,1,2,7,13,2.5
25,"रु.5,35,00,000",Near,6.6,East,6,6,2,2,6,20,3.5
26,"रु.5,00,00,000",Safaray,6anna,North,4,4,3,1,7,16,2.5
27,"रु.3,95,00,000",Buddhanilkanth,4 Anna 1 paisa,West,4,4,1,1,7,13,2.5
28,"रु.3,00,00,000",Lubhu,4.5 aana,South,4,4,2,2,6,20,3
29,"रु.4,75,00,000",Pasikot,5 Aana,East,4,2,1,2,9,20,2.5
30,"रु.3,90,00,000",Imadol,3 Aana 3 Paisa,North,7,5,1,2,15,16,3.5
31,"रु.3,25,00,000",Bhaisepati,3 Aana 1 Daam,East,4,3,1,1,9,20,2.5
32,"रु.3,25,00,000",Sanagau,4 Aana 1 Paisa,South,7,4,2,2,15,13,3
33,"रु.6,30,00,000",Shital,6 aana,South,5,4,1,2,12,13,3.5
34,"रु.5,35,00,000",Shital,4.5 aana,South,6,4,1,1,12,13,3.5
35,"रु.3,95,00,000",Shital,4 aana,South,5,3,2,2,12,13,3.5
36,"रु.4,10,00,000",Shital,3 Aana 2 Paisa,East,7,5,2,2,16,13,3
37,"रु.4,20,00,000",Shital,4 Aana 1 Paisa,South,7,5,2,2,16,13,3.5
38,"रु.4,25,00,000",Shital,4 aana,South,7,5,2,2,16,13,3.5
39,"रु.2,80,00,000",Shital,3 aana,West,5,4,2,2,13,13,3.5
40,"रु.3,00,00,000",Shital,4 Aana 1 Paisa 2 Daam,East,5,4,2,2,13,13,2.5
41,"रु.3,65,00,000",Bhaisepati,4 aana,North,4,5,2,2,13,13,2.5
42,"रु.5,00,00,000",Swayambhu,5 aana,North,6,4,2,2,14,13,3
43,"रु.3,90,00,000",Shital,5 aana,South,5,undefined,2,2,10,16,3
44,"रु.3,10,00,000",Imadol,3 aana,West,8,4,2,2,8,20,3
45,"रु.1,75,00,000",Gothatar,3 Aana 1 Daam,South,4,3,1,1,9,12,1.5
46,"रु.4,10,00,000",Bhaisepati,4 aana,North,4,3,2,2,11,16,2.5
47,"रु.3,35,00,000",Imadol,3 Aana 1 Paisa 1 Daam,South,8,4,2,2,16,13,3.5
48,"रु.2,50,00,000",Imadol,3 aana,Select,undefined,7,2,2,8,16,3
49,"रु.2,00,00,000",Gokarna,3.5 aana,East,6,3,2,1,9,13,2.5
50,"रु.4,50,00,000",Baneshwor,5 Anna,East,5,3,2,2,6,14,2.5
51,"रु.1,60,00,000",Kapan,2 aana,Select,4,2,2,2,6,12,undefined
52,"रु.2,30,00,000",Imadol,2.5 Aana,North,5,3,2,2,12,13,3
53,"रु.1,90,00,000",Pepsicola,4 aana,North,3,2,1,1,6,4,2
54,"रु.3,70,00,000",Manamaiju,4 aana 1 paisa 1 dam,South,5,3,2,3,16,,3.5
55,"रु.2,85,00,000",Jorpati,3 aana,West,10,3,4,4,12,10,2.5
56,"रु.2,10,00,000",Imadol,3.5 aana,North,5,4,2,2,undefined,20,2.5
57,"रु.4,75,00,000",Nakhipot,5 Anna,East,5,4,1,1,7,20,2.5
58,"रु.3,90,00,000",Nakhipot,4 Anna 2 Paisa,North,6,2,2,2,7,13,2.5
59,"रु.3,25,00,000",Tikathali,4 Anna ! paisa 1 Dam,North,4,2,2,2,undefined,13,2.5
60,"रु.2,65,00,000",Tikathali,0,South,6,3,2,2,7,13,2.5
61,"रु.3,15,00,000",Tikathali,3 anna 2 paisa,South,6,4,2,2,9,13,2.5
62,"रु.4,00,00,000",Nilopul,4 aana,South,2,2,2,3,10,13,2.5
63,"रु.3,50,00,000",chovar,5. Anna 2 Paisa / 5 Anna 2 paisa 2 dam,South,5,5,2,2,7,20,2.5
64,"रु.2,80,00,000",ekata,3.45,North,3,5,3,3,12,13ft,3.5
65,"रु.2,60,00,000",Sanagaun,3 aana,North,6,2,2,2,8,13,2.5
66,"रु.3,85,00,000",Imadol,4 anna 2 dam,North,8,4,2,2,9,13,3
67,"रु.3,50,00,000",Tikathali,4 aana,West,6,4,3,3,10,20,3
68,"रु.2,95,00,000",Dhapakhel,3 aana,South,4,5,2,2,8,10,4
69,"रु.3,35,00,000",Sanagaun,4 Anna 1 Paisa,South,5,4,2,2,undefined,20,2.5
70,"रु.2,80,00,000",manmaiju,3.5,South,5,4,2,2,5,,2.5
71,"रु.3,50,00,000",Bhaisepati,3.5 aana,East,undefined,undefined,undefined,undefined,undefined,20,2.5
72,"रु.8,50,00,000",Balkot,14ana,North,6,6,3,1,18,24ft,3
73,"रु.4,50,00,000",Bhaisepati,4.5 aana,Select,4,3,2,2,11,13,2.5
74,"रु.4,10,00,000",Bhaisepati,4 aana,North,4,3,2,2,11,16,2.5
75,"रु.2,85,00,000",Tikathali,3 aana,East,5,4,2,2,13,13,3.5
76,"रु.5,75,00,000",Bhaisepati,6 aana,East,4,3,1,1,9,13,2
77,"रु.2,65,00,000",Gothatar,3 aana,North,6,4,2,2,14,13,2.5
78,"रु.3,30,00,000",Balkot,3 Aana 1 Paisa 2 Daam,East,6,5,2,2,15,13,3
79,"रु.4,20,00,000",Imadol,4 aana,South,6,5,2,2,15,13,3
80,"रु.4,25,00,000",tauk,14,East,0,0,0,0,16,0,3.5
81,"रु.1,15,00,000",Chagunarayan,2 ana 3 paisa 1 dam,East,5,2,undefined,1,6,13,2
82,"रु.3,25,00,000",Pepsicola,3.5 aana,West,8,6,2,2,18,13,3.5
83,"रु.6,00,00,000",Kalanki,6 aana,East,4,4,2,2,9,10,2.5
84,"रु.4,10,00,000",Bhaisepati,4 aana,North,4,3,2,2,11,16,2.5
85,"रु.4,50,00,000",Bhaisepati,4.5 aana,West,4,3,2,2,11,13,2.5
86,"रु.5,00,00,000",Bhaisepati,5 Aana 1 Daam,East,4,3,2,2,11,13,2.5
87,"रु.2,10,00,000",Imadol,3 aana,North,6,5,2,2,15,15,2.5
88,"रु.1,75,00,000",Lamatar,3.5 aana,South,3,2,1,1,5,20,2.5
89,"रु.3,35,00,000",Pepsicola,3.5 aana,East,6,5,2,2,15,22,3.5
90,"रु.1,85,00,000",Sanagaun,3 aana,Select,7,4,2,2,8,13,3
91,रु.0,Bhaisepati,5 aana,South,6,4,2,2,14,13,3
92,"रु.7,50,00,000",Bhaisepati,7 aana,South,5,6,2,2,15,13,2.5
93,"रु.4,00,00,000",Ganesh,4.5 aana,East,5,4,2,2,13,16,3
94,"रु.5,75,00,000",Sital,5 Aana 1 Paisa,East,7,6,2,2,17,26,3.5
95,"रु.3,75,00,000",Imadol,4 Aana 1 Paisa,West,7,5,2,2,16,13,3.5
96,"रु.3,35,00,000",Imadol,3 Aana 1 Paisa 1 Daam,South,8,4,2,2,16,13,3.5
97,रु.0,Pasikot,6 aana,South,6,5,2,2,15,20,2.5
98,रु.0,Hattigauda,6.1 Aana,West,5,6,2,2,15,20,2.5
99,"रु.2,45,00,000",Sitalheight,3 Aana,East,4,3,2,2,11,13,2.5
100,"रु.2,70,00,000",Imadol,3 Aana 2 Daam,North,5,5,2,2,14,13,3
101,"रु.2,65,00,000",Tikathali,3 Aana 3 Paisa,West,7,5,2,2,16,13,3
102,"रु.3,10,00,000",Tikathali,3 Aana 2 Paisa 2 Daam,South,7,4,2,2,15,13,3
103,"रु.2,65,00,000",Tikathali,3 Aana 1.5 Daam,South,8,6,2,2,18,13,3.5
104,"रु.2,50,00,000",Imadol,3 aana,North,6,4,2,2,14,13,3.5
105,"रु.1,55,00,000",Siddhipur,3 aana,North,2,1,1,1,5,13,1.5
106,"रु.3,35,00,000",Imadol,3 Aana 1 Paisa,North,6,3,2,2,13,13,2.5
107,"रु.3,00,00,000",Bagdole,5 aana,Select,2,2,2,2,6,,2.5
108,"रु.3,00,00,000",Imadol,3.5 aana,East,8+,4,3,3,15,13,3.5
109,"रु.7,00,00,000",Lamachaur,9aana 2paisa,Select,5,2,7,2,9,10,2
110,"रु.4,90,00,000",Chorepatan,6 aana,North,5,4,2,2,11,16,2.5
111,"रु.1,85,00,000",bala,3 aana,South,7,6,3,3,13,8,3.5
112,"रु.4,35,00,000",Harisiddhi,7,West,6,5,1,1,8,13,2.5
113,"रु.2,45,00,000",Imadol,3 aana,North,8,6,2,2,8,16,3
114,"रु.2,00,00,000",Main,3.5 aana,South,2,4,2,2,7,26,2.5
115,रु.,Sajha,5250Sqm,North,undefined,undefined,undefined,undefined,undefined,East,undefined
116,"रु.4,20,00,000",Imadol,3.5 Aana,West,5,4,2,2,13,13,3.5
117,"रु.3,00,00,000",Imadol,3 Aana 1 Paisa,West,6,5,2,2,15,13,3
118,"रु.2,20,00,000",Lubhu,3 Aana 1 Paisa,East,5,4,2,2,13,16,2.5
119,"रु.4,45,00,000",Imadol,4 ana 1 dam,West,11,6,2,2,11,20,3
120,"रु.2,50,00,000",budhanilkantha,3 aana 1 paisa,East,4,4,2,2,undefined,13,2.5
121,"रु.3,70,00,000",Hattigauda,4 Aana,West,4,3,1,1,9,13,3
122,रु.0,Hattigauda,16 Aana 1 Ropani,East,5,8,2,1,16,13,2.5
123,"रु.2,90,00,000",Imadol,3 Aana 1 Paisa 2 Daam,East,6,5,2,2,15,16,2.5
124,"रु.6,60,00,000",Koteshwor,0-5-1-3,East,12,6,12,6,33,20ft,5
125,"रु.4,90,00,000",Dhapakhel,8.2 ana,South,6,4,3,2,3,20,2.5
126,"रु.6,00,00,000",Thimi,6 Aana,North,5,4,1,1,11,20,3
127,"रु.2,70,00,000",Sanagaun,3 Aana 1 Paisa,South,5,4,1,1,11,13,4
128,"रु.5,50,00,000",Imadol,5 aana,West,5,4,1,1,11,20,3
129,"रु.3,90,00,000",Chapali,4.5 aana,North,5,4,1,1,11,14,3
130,"रु.2,15,00,000",Ramailo,3 aana 3 paisa 3 dam,South,6,5,2,2,10,12,3.5
131,"रु.4,10,00,000",Pasikot,4 Anna 1 Daam,West,4,2,1,2,9,13,2.5
132,"रु.4,75,00,000",Pasikot,5 Anna,East,4,2,1,2,9,20,2.5
133,"रु.3,70,00,000",Hattigauda,4 aana,West,4,2,1,2,9,13,3
134,"रु.5,50,00,000",Hattigauda,6 Anna 1 Paisa,West,4,2,1,2,9,16,3
135,"रु.2,95,00,000",Tikathali,3 Anna 3 Paisa,North,5,5,2,2,14,13,3
136,"रु.3,55,00,000",Setipakha,3 Anna 2 Paisa,East,6,4,2,2,14,13,3
137,"रु.3,85,00,000",Imadol,3 Anna 3 Paisa,West,6,4,1,2,13,13,2.5
138,"रु.3,65,00,000",Bhaisepati,4 aana,North,4,5,2,1,12,13,2.5
139,"रु.1,80,00,000",Payuntar,4anna,South,8,4,2,3,8,,2.5
140,"रु.2,50,00,000",Tikathali,3 ana,South,8,6,2,2,10,13,3
141,"रु.2,69,00,000",Tikathali,3 Anna 2 Dam,East,6,4,2,2,7,13,2.5
142,"रु.3,45,00,000",Bhangal,4 Aana,South,6,4,2,2,undefined,13,3.5
143,"रु.2,85,00,000",Lasuntar,3 Aana 3 Paisa,North,6,4,2,2,undefined,13,2.5
144,"रु.2,90,00,000",Imadol,3 aana,South,5,3,1,1,undefined,13,2.5
145,"रु.3,90,00,000",Dhobighat,"3 Anna, 3 Paisa, 3 Dam",East,7,4,1,2,10,12,3.5
146,"रु.3,85,00,000",Akasaydar,4.5anna,North,4,4,2,2,6,13,2
147,"रु.2,70,00,000",Nakkhu,3 aana,South,7,3,undefined,3,undefined,13,3.5
148,"रु.2,40,00,000",Duwakot,1069.5,South,6,4,2,2,11,,2.5
149,"रु.2,10,00,000",Taukhel,4 aana,West,0,0,0,0,0,20,0
150,"रु.4,50,00,000",Ganesh,4 Anna 3 Paisa,East,5,4,1,2,7,,undefined
151,"रु.5,50,00,000",Pasikot,6 aana,South,8,4,2,2,undefined,20,2.5
152,"रु.2,50,00,000",Kapan,3 aana,South,6,4,2,2,undefined,13,3.5
153,"रु.1,25,00,000",Bade,4 aana,North,4,3,1,1,6,13,3
154,"रु.5,50,00,000",Bhaisepati,5 aana,South,5,6,2,2,undefined,13,2.5
155,"रु.3,75,00,000",Kalanki,4 aana,East,6,3,2,2,undefined,13,2.5
156,"रु.2,60,00,000",ganesh,3 aana 1 paisa,North,10,3,2,2,undefined,20,2.5
157,"रु.3,50,00,000",Bhangal,3 aana 3 paisa,North,5,3,2,1,undefined,13,2.5
158,"रु.4,75,00,000",ganesh,3 aana 3 paisa,West,4,5,2,1,undefined,20,2.5
159,"रु.4,70,00,000",Bhaisepati,5 aana,South,6,4,2,2,6,13,undefined
160,"रु.3,20,00,000",Gothatar,3 aana 2 Paisa,North,7,4,2,2,undefined,20,3
161,"रु.2,45,00,000",Sital,3 aana,East,4,3,2,2,4,13,undefined
162,"रु.2,20,00,000",Imadol,2 Aana 3 Paisa,South,4,4,2,2,4,13,2.5
163,"रु.1,25,00,000",Akasaydara,3 aana,North,2,4,2,2,10,15ft,2.5
164,"रु.3,15,00,000",Satdobato,4 aana,South,4,4,undefined,undefined,4,13,2.5
165,"रु.2,10,00,000",Taukhel,4 aana,East,0,0,0,0,0,,0
166,"रु.70,00,000",Thecho,3 aana,North,0,0,0,0,0,13,0
167,"रु.4,35,00,000",Budhanilkantha,4.5 aana,South,6,4,1,1,6,13,2.5
168,"रु.2,50,00,000",Imadol,3 aana,South,5,3,1,1,5,13,2.5
169,"रु.4,90,00,000",Nakhipot,5 aana,East,4,4,2,2,4,20,2.5
170,"रु.2,95,00,000",Tikathali,3 Anna 3 Paisa,North,5,5,undefined,2,5,20,2
171,"रु.2,00,00,000",Dhumbarahi,3.5 aana,North,6,2,1,2,9,8,2.5
172,"रु.5,00,00,000",Nakhipot,5 aana,East,4,4,2,2,5,20,2.5
173,"रु.3,14,99,999",Imadol,3 aana 1 paisa 1 dam,North,6,4,1,2,9,13ft,3
174,"रु.2,75,00,000",Gothatar,3 AANA 1 PAISA,West,7,4,2,undefined,undefined,20,2.5
175,"रु.3,00,00,000",Jorpati,5 aana 3 paisa,South,2,1,1,1,undefined,13,1
176,"रु.3,95,00,000",Sital,4 aana,West,5,6,2,2,8,14,2.5
177,"रु.3,95,00,000",Imadol,4 ana 2 dam,Select,8,4,2,2,8,20,3
178,"रु.2,25,00,000",Kapan,4 Anna 2 Daam,South,6,5,2,2,7,13,2.5
179,"रु.2,35,00,000",Gothatar,3 Aana,North,6,4,2,2,undefined,18,2.5
180,"रु.3,20,00,000",Imadol,3Anna 1Paisa,North,5,4,2,1,7,13,2.5
181,"रु.4,60,00,000",Dhapakhel,5.5 Anna,South,5,5,2,2,7,20,2.5
182,"रु.1,30,00,000",Taukhel,5,East,0,0,0,0,0,13,0
183,"रु.2,35,00,000",Imadol,3 aana,East,7,4,2,2,7,13,2.5
184,"रु.2,70,00,000",Imadol,3 aana 2 paisa,North,5,5,2,2,5,13,3
185,"रु.2,99,00,000",Tikathali,Nepal,North,5,4,2,1,6,20,2.5
186,"रु.5,50,00,000",Bhaisepati,5 aana,South,5,6,2,1,undefined,13,2.5
187,"रु.4,50,00,000",Kapan,5 aana,North,5,6,2,2,undefined,13,2.5
188,"रु.3,50,00,000",nepaltar,7 aana,South,8,5,1,3,undefined,13,2.5
189,"रु.3,50,00,000",Dhapasi,4 aana,North,6,4,2,2,undefined,13,2.5
190,"रु.2,40,00,000",padamsal,3 aana 2 daam,North,4,4,3,3,undefined,13,2.5
191,"रु.6,00,00,000",Baniyatar,6 aana,East,6,7,2,2,undefined,13,3.5
192,"रु.4,20,00,000",Imadol,3 aana 1 paisa,South,7,4,2,2,undefined,13,2.5
193,"रु.2,75,00,000",Imadol,3 aana 1 paisa,South,5,4,2,2,undefined,13,2.5
194,"रु.4,20,00,000",Nakhipot,4 aana 1 paisa,South,7,5,2,2,undefined,13,2.5
195,"रु.6,25,00,000",Bhaisepati,6.5 aana,North,4,5,1,1,undefined,13,2.5
196,"रु.4,10,00,000",Imadol,4 aana 1 pasia,West,9,6,2,2,undefined,13,3.5
197,"रु.3,95,00,000",Imadol,4 aana 2 paisa,West,6,6,2,2,undefined,13,3
198,"रु.2,60,00,000",Baniyatar,2 aana 2 paisa,South,6,5,2,1,undefined,13,3
199,"रु.2,25,00,000",Kalanki,2 aana 2 paisa,West,6,5,2,2,undefined,14,3
200,"रु.2,25,00,000",Kalanki,2 aana 2 paisa,West,6,5,2,2,undefined,14,3
201,"रु.2,80,00,000",Baniyatar,4 AANA 2 PAISA,South,5,4,3,3,undefined,13,3.5
202,"रु.3,50,00,000",Imadol,3.25Ana,North,5,4,2,2,undefined,13,3
203,"रु.4,25,00,000",Balkhu,4 AANA 2 PAISA,North,5,6,2,1,undefined,13,2.5
204,"रु.4,25,00,000",Kalanki,6 aana,South,10,9,3,3,undefined,13,4.5
205,"रु.2,85,00,000",kala,3 aana 2 paisa,West,5,5,2,3,undefined,13,3
206,"रु.2,85,00,000",kala,3 aana 2 paisa,West,5,5,2,3,undefined,13,3
207,"रु.9,25,00,000",Sitapaila,13.5 aana,South,4,3,1,1,undefined,20,2.5
208,"रु.4,70,00,000",Bhangal,5.1,Select,7,6,2,2,10,12,2.5
209,"रु.2,50,00,000",Taukhel,3/2/2000,South,0,0,0,0,0,13,2.5
210,"रु.1,65,00,000",Imadol,2/3/2000,East,0,0,0,0,0,10,2.5
211,"रु.1,75,00,000",Imadol,2/1/2003,East,0,0,0,0,0,16,2.5
212,"रु.3,30,00,000",Kapan,3 aana 3 dam,East,7,4,3,3,undefined,13,3.5
213,"रु.2,35,00,000",Imadol,3 aana,West,5,3,2,2,8,12,2.5
214,"रु.3,00,00,000",chyasundole,4 aana,West,5,4,2,2,undefined,13,2.5
215,"रु.6,25,00,000",budhanilkantha,7 aana,West,5,4,1,1,undefined,13,2.5
216,"रु.3,85,00,000",Pahelopul,4 aana,South,13,5,1,4,18,20,4.5
217,"रु.3,25,00,000",Sital,Nepal,North,4,4,1,2,7,13,2.5
218,"रु.2,45,00,000",Dhumbarahi,3 aana,East,3,2,1,1,4,13,2.5
219,"रु.2,65,00,000",Tikathali,3 Anna 3 Paisa,West,5,5,undefined,2,7,13,2.5
220,"रु.3,50,00,000",Dhapasi,4 aana,East,6,4,1,1,undefined,20ft,2.5
221,"रु.4,50,00,000",Samakhusi,5 aana,East,8,5,3,3,undefined,13ft,3.5
222,"रु.2,75,00,000",Hattiban,3 aana,West,5,4,2,2,8,10,2.5
223,"रु.3,95,00,000",Tikathali,4 ana 1 paisa,Select,8,6,2,2,8,,3.5
224,"रु.3,50,00,000",wasik,6 aana,South,6,5,2,2,undefined,13,2.5
225,"रु.8,00,00,000",Narayanthan,10 aana 3 paisa,East,4,6,2,1,8,20,2.5
226,"रु.3,65,00,000",Thulobharyang,3 aana,North,6,3,2,1,undefined,13,2.5
227,"रु.2,50,00,000",Kapan,3 aana,East,5,3,3,3,undefined,13,3.5
228,"रु.3,65,00,000",Bhaisepati,4 aana,North,4,5,2,1,undefined,13,2.5
229,"रु.2,50,00,000",Imadol,Nepal,North,undefined,3,2,2,7,13,2.5
230,"रु.8,50,00,000",Rudreshwor,9 aana,East,6,5,2,1,undefined,13,2.5
231,"रु.2,75,00,000",Imadol,Nepal,West,7,5,3,2,9,13,2.5
232,"रु.2,20,00,000",Goldhunga,3 aana 2 paisa,East,5,5,2,2,undefined,13,2.5
233,"रु.2,70,00,000",Goldhunga,4 aana,North,5,6,1,3,undefined,13,3.5
234,"रु.3,25,00,000",budhanilkantha,3 aana 1 paisa,West,6,5,2,2,undefined,13,2.5
235,"रु.3,00,00,000",Kapan,3 aana 1 paisa,South,6,6,2,2,undefined,13,2.5
236,"रु.3,50,00,000",budhanilkantha,6 aana,South,6,3,2,1,undefined,13,2.5
237,"रु.3,80,00,000",Khalte,8.2 Aana,Select,4,4,2,1,undefined,,2.5
238,"रु.3,85,00,000",Chunikhel,4 aana 2 daam,North,6,5,2,2,undefined,13,2.5
239,"रु.4,75,00,000",Bhaisepati,5 aana,South,6,6,2,2,undefined,13,3
240,"रु.3,85,00,000",Bhaisepati,4 aana,South,7,7,2,2,undefined,13,2.5
241,"रु.4,15,00,000",Chapali,4 aana 1 paisa,North,7,7,2,2,undefined,13,2.5
242,"रु.3,80,00,000",ganesh,4 aana,West,6,4,2,2,undefined,13,2.5
243,"रु.6,50,00,000",Kalanki,5 aana,East,5,5,2,1,undefined,13,2.5
244,"रु.3,25,00,000",Kapan,3 aana 2 paisa 1 daam,West,6,3,2,2,undefined,13,2.5
245,"रु.4,35,00,000",Wasik,4 aana 2 paisa,North,5,5,2,1,undefined,20,2
246,"रु.3,00,00,000",jagdol,3 aana 2 daam,South,5,3,2,2,undefined,13,3.5
247,"रु.3,70,00,000",Dharmasthali,4 aana,North,8,6,1,3,undefined,13,3.5
248,"रु.4,85,00,000",dholahiti,5 aana,East,5,6,2,1,undefined,13,2.5
249,"रु.2,75,00,000",Gothatar,3.1 aana,West,6,4,2,2,undefined,20,2.5
250,"रु.2,69,00,000",nakkhu,3 Aana 2 Paisa,North,5,5,2,2,undefined,16,undefined
251,"रु.5,50,00,000",Sukedhara,7 aana 2 paisa,North,5,3,1,1,undefined,13,undefined
252,"रु.2,80,00,000",Dhaneshwor,4 aana,North,8,5,3,3,undefined,14,3.5
253,"रु.4,25,00,000",Dhalahiti,4.25 Aana,South,6,5,2,2,undefined,14,2.5
254,"रु.2,20,00,000",Kapan,3 aana,West,6,4,2,2,6,13,2.5
255,"रु.4,35,00,000",lasuntar,5 aana,South,6,5,2,2,undefined,13,2.5
256,"रु.3,30,00,000",Sukedhara,3 aana,South,5,5,3,3,undefined,14,3.5
257,"रु.1,90,00,000",Hattigauda,4 aana,East,2,2,2,1,undefined,13,1
258,"रु.6,00,00,000",Kalanki,8 aana,North,7,4,1,1,undefined,13,2.5
259,"रु.4,50,00,000",Pasikot,4.1 aana,East,6,5,2,2,undefined,13,2.5
260,"रु.5,00,00,000",Budhanilkantha,6 aana,North,6,5,2,2,undefined,16,2.5
261,"रु.1,70,00,000",Tikathali,3 aana,Select,3,1,1,1,3,13,1
262,"रु.4,95,00,000",Imadol,Nepal,Select,6,5,2,2,7,13,2.5
263,"रु.4,30,00,000",Budhanilkantha,4 anna 2 paisa,North,5,5,2,1,undefined,20,2.5
264,"रु.3,10,00,000",Hattigauda,4.5 Aana,North,6,6,2,2,undefined,13,2.5
265,"रु.3,35,00,000",Imadol,Nepal,North,5,3,2,2,6,13,2.5
266,"रु.3,33,00,000",Tikathali,3 ana 3 paisa,Select,8,5,2,2,8,20,3
267,"रु.2,65,00,000",Tikathali,3 aana,South,7,4,2,2,8,20,2.5
268,"रु.4,25,00,000",Imadol,3 Anna 3 pasia,East,7,3,2,2,7,13,2.5
269,"रु.1,70,00,000",Hulas,22.5 dhur,South,undefined,undefined,undefined,undefined,18,16,3
270,"रु.2,85,00,000",Tikathali,Nepal,East,7,5,2,2,7,20,undefined
271,"रु.2,65,00,000",Tika,Nepal,West,5,2,1,1,6,13,3
272,"रु.3,65,00,000",Thulobharyang,4 Aana,North,6,3,2,2,undefined,13,2.5
273,"रु.1,85,00,000",Tokha,3.5 aana,South,1,1,1,1,undefined,13,1
274,"रु.2,45,00,000",Kadhaghari,3 aana,South,6,3,3,3,undefined,13,2.5
275,"रु.1,10,00,000",THAIBA,4 aana,North,3,undefined,undefined,undefined,undefined,13,1
